,시도명,시군구명,상호명,지점명,경도,위도,도로명주소,ID,커피빈 매장수,브랜드명
74,서울특별시,송파구,커피빈코리아올림픽공원,-,127.115776502358,37.5203493948844,서울특별시 송파구 올림픽로 424,서울 송파,1,커피빈
75,서울특별시,강남구,커피빈코리아논현동팍스타워,-,127.036664991663,37.509936177251,서울특별시 강남구 언주로 609,서울 강남,1,커피빈
76,서울특별시,영등포구,커피빈코리아여의도순복음교회옆점,코리아여의도순복음교회옆점,126.92473649335501,37.5308386325503,서울특별시 영등포구 여의서로 43,서울 영등포,1,커피빈
77,서울특별시,강남구,커피빈삼성로점,삼성로점,127.05413099802,37.5106990610071,서울특별시 강남구 삼성로 551,서울 강남,1,커피빈
78,부산광역시,중구,커피빈,코리아부산광복동점,129.029023375864,35.0994824207401,부산광역시 중구 광복로 35,부산 중구,1,커피빈
79,서울특별시,서대문구,커피빈,코리아이대역점,126.945998110077,37.5571965817685,서울특별시 서대문구 이화여대길 6,서울 서대문,1,커피빈
80,서울특별시,강남구,더커피빈앤티리프,-,127.10309432439101,37.48731103741361,서울특별시 강남구 광평로 280,서울 강남,1,커피빈
81,서울특별시,서초구,커피빈,코리아강남역GT타워옆점,127.02571695694401,37.4985381518182,서울특별시 서초구 서초대로73길 12,서울 서초,1,커피빈
82,서울특별시,중구,커피빈,코리아명동8나길점,126.98388954903,37.5614933584536,서울특별시 중구 명동8나길 20,서울 중구,1,커피빈
83,서울특별시,동대문구,커피빈코리아외대앞점,코리아외대앞점,127.06019706824,37.5960588132729,서울특별시 동대문구 이문로 106,서울 동대문,1,커피빈
84,서울특별시,강남구,커피빈,코리아영동2교사거리점,127.043232821419,37.481876594572,서울특별시 강남구 논현로 136,서울 강남,1,커피빈
85,서울특별시,종로구,커피빈코리아삼청동점,코리아삼청동점,126.981767990823,37.5851364085309,서울특별시 종로구 삼청로 109,서울 종로,1,커피빈
86,서울특별시,중구,커피빈,코리아명동나인트리호텔점,126.98598243349899,37.5615744256292,서울특별시 중구 명동8가길 20,서울 중구,1,커피빈
87,서울특별시,강남구,커피빈,코리아뉴압구정점,127.02740564206199,37.5244122928567,서울특별시 강남구 논현로167길 9,서울 강남,1,커피빈
88,서울특별시,중구,커피빈,코리아소공동삼화빌딩점,126.981148104184,37.5641548377455,서울특별시 중구 남대문로7길 16,서울 중구,1,커피빈
89,서울특별시,강남구,커피빈,코리아청담카페점,127.044408516548,37.5244880169564,서울특별시 강남구 도산대로67길 7,서울 강남,1,커피빈
90,서울특별시,영등포구,커피빈,코리아여의도역점,126.923972675103,37.521001291570286,서울특별시 영등포구 의사당대로 110,서울 영등포,1,커피빈
91,서울특별시,강남구,커피빈,코리아뉴가로수길점,127.022325923935,37.5235503948197,서울특별시 강남구 압구정로12길 6,서울 강남,1,커피빈
92,서울특별시,서초구,커피빈,코리아교대역점,127.012354946611,37.492957792054796,서울특별시 서초구 서초대로 280,서울 서초,1,커피빈
93,서울특별시,양천구,커피빈,코리아목동트라팰리스점,126.870342171311,37.5260779264084,서울특별시 양천구 오목로 299,서울 양천,1,커피빈
94,서울특별시,강남구,커피빈,코리아뉴선릉역점,127.04720966477899,37.5043811001854,서울특별시 강남구 테헤란로 327,서울 강남,1,커피빈
95,서울특별시,서초구,커피빈,코리아반포엘루체점,126.987210696283,37.501737407512,서울특별시 서초구 신반포로 23,서울 서초,1,커피빈
96,서울특별시,강남구,커피빈,코리아영동고앞점,127.039457996029,37.5214743850308,서울특별시 강남구 선릉로 749,서울 강남,1,커피빈
97,서울특별시,영등포구,더커피빈앤티리프,-,126.921944960891,37.5298400559422,서울특별시 영등포구 국회대로74길 19,서울 영등포,1,커피빈
98,서울특별시,강남구,커피빈,코리아언주로점,127.032781866655,37.523348151123,서울특별시 강남구 언주로 819,서울 강남,1,커피빈
99,서울특별시,송파구,커피빈,코리아신천역점,127.081676403989,37.5114120093593,서울특별시 송파구 올림픽로 100,서울 송파,1,커피빈
100,서울특별시,서초구,커피빈,코리아영동점,127.022803927157,37.50684884152521,서울특별시 서초구 강남대로 503,서울 서초,1,커피빈
101,서울특별시,종로구,커피빈,코리아종로YMCA점,126.985294475442,37.5705699246654,서울특별시 종로구 종로 69,서울 종로,1,커피빈
102,서울특별시,강남구,커피빈,코리아학동역점,127.03203413062,37.514673901446,서울특별시 강남구 학동로 211,서울 강남,1,커피빈
103,서울특별시,영등포구,커피빈,코리아여의도신영증권별관점,126.92968545198,37.5218010688175,서울특별시 영등포구 국제금융로8길 6,서울 영등포,1,커피빈
104,서울특별시,서초구,커피빈,코리아내방역7번출구유중아트점,126.992825964204,37.48953109657629,서울특별시 서초구 방배로 178,서울 서초,1,커피빈
105,서울특별시,강남구,커피빈,코리아압구정시티점,127.036974187175,37.5237248097997,서울특별시 강남구 도산대로49길 13,서울 강남,1,커피빈
106,서울특별시,강남구,커피빈코리아현대자동차강남오토스퀘어점,코리아현대자동차강남오토스퀘어점,127.029959127242,37.4940767955719,서울특별시 강남구 강남대로 350,서울 강남,1,커피빈
107,서울특별시,마포구,커피빈코리아홍대주차장길,-,126.922082116243,37.553322435209,서울특별시 마포구 어울마당로 94,서울 마포,1,커피빈
108,서울특별시,성북구,커피빈코리아고대안암역,-,127.029558656269,37.5869806658445,서울특별시 성북구 개운사길 8,서울 성북,1,커피빈
109,서울특별시,서초구,커피빈코리아뉴교보타워옆,-,127.024864400949,37.5023515888989,서울특별시 서초구 강남대로 449-3,서울 서초,1,커피빈
