,지역,상호,주소,상표,셀프여부,경유
3,대전광역시,그린주유소,대전 서구 동서대로 953 (내동),알뜰주유소,Y,1299
4,대전광역시,혜천셀프주유소,대전 서구 혜천로 28 (정림동),GS칼텍스,Y,1295
5,대전광역시,(주)가수원하늘셀프주유소,대전 서구 계백로 1176 (가수원동),SK에너지,Y,1295
6,대전광역시,대림주유소,대전 서구  계백로1290 (정림동),GS칼텍스,Y,1295
7,대전광역시,중도석유(주)도마동주유소,대전 서구 계백로 1371 (도마동),GS칼텍스,Y,1295
8,대전광역시,굿모닝주유소,대전광역시 서구  계백로 1376 (도마동),현대오일뱅크,N,1297
9,대전광역시,중도석유(주)가장주유소,대전 서구 갈마로 321 (가장동),GS칼텍스,Y,1315
10,대전광역시,가득주유소,대전광역시 서구 갈마로 322(가장동),현대오일뱅크,N,1315
11,대전광역시,가원주유소,대전 서구  갈마로 302 (가장동),GS칼텍스,Y,1309
12,대전광역시,황금주유소,대전 서구 동서대로 1081 (내동),SK에너지,Y,1307
13,대전광역시,배재주유소,대전 서구 도솔로 57 (도마동),현대오일뱅크,N,1297
14,대전광역시,(주)에너비즈 명품주유소,대전 서구 배재로 218 (도마동),S-OIL,Y,1317
15,대전광역시,배재로주유소,대전 서구 배재로 210 (도마동),SK에너지,Y,1357
16,대전광역시,선진주유소,대전 서구 배재로 205,현대오일뱅크,N,1279
17,대전광역시,(주)에너비즈 둔산주유소,대전 서구 유등로 667 (탄방동),현대오일뱅크,Y,1317
18,대전광역시,현대오일뱅크(주)직영 신대전셀프주유소,대전 서구 도산로 213 (변동),현대오일뱅크,Y,1335
19,대전광역시,은하수self주유소,대전 서구 도산로 123,S-OIL,Y,1315
20,대전광역시,씨앤에스유동(주)도안신도시주유소,대전 서구  도안동로 277 (도안동),S-OIL,Y,1328
21,대전광역시,(주)제이에너지 남산주유소,대전 서구 도산로 446 (용문동),GS칼텍스,N,1319
22,대전광역시,갈마주유소,대전 서구 신갈마로 130,GS칼텍스,Y,1329
23,대전광역시,우리주유소,대전광역시 서구 도산로 216,GS칼텍스,N,1355
24,대전광역시,지에스칼텍스㈜ 정림주유소,대전 서구 계백로 1277,GS칼텍스,Y,1359
25,대전광역시,동현주유소,대전 서구 계백로 1327 (정림동),S-OIL,N,1326
26,대전광역시,창현주유소,대전 서구 계백로 838 (관저동),SK에너지,Y,1325
27,대전광역시,중동주유소,대전 서구 계룡로 344 (갈마동),알뜰주유소,N,1355
28,대전광역시,지에스칼텍스(주) GS내동주유소,대전 서구 내동 대덕대로 24,GS칼텍스,Y,1359
29,대전광역시,도마주유소,대전광역시 서구  도산로 27 (도마동),현대오일뱅크,N,1335
30,대전광역시,중도석유(주)대덕주유소,대전 서구 월평북로 84 (월평동),GS칼텍스,Y,1375
31,대전광역시,만년교주유소,대전 서구 계룡로 202 (월평동),SK에너지,Y,1365
32,대전광역시,용문주유소,대전 서구 도산로 336 (용문동),SK에너지,N,1355
33,대전광역시,중도석유(주)월드컵주유소,대전 서구 문정로 12 (탄방동),GS칼텍스,Y,1377
34,대전광역시,기성농협주유소,대전 서구 세점길 7 (흑석동),현대오일뱅크,N,1348
35,대전광역시,괴정주유소,대전 서구 괴정로 113,GS칼텍스,N,1349
36,대전광역시,우리동네주유소,대전 서구 청사로 224,GS칼텍스,Y,1395
37,대전광역시,서남부주유소,대전 서구 계백로 1259 (정림동),SK에너지,N,1388
38,대전광역시,(주)우전에너지 대솔밭주유소,대전 서구 계백로 902 (관저동),SK에너지,N,1398
39,대전광역시,대전청사(코끼리),대전 서구 대덕대로 188 (둔산동),SK에너지,Y,1465
40,대전광역시,구도일주유소 한밭,대전 서구  문정로 3 (둔산동),S-OIL,Y,1445
41,대전광역시,유진주유소,대전 서구 동서대로 1069 (내동),S-OIL,N,1487
42,대전광역시,한미주유소,대전 서구 월평중로 28 (월평동),S-OIL,N,1477
43,대전광역시,삼정주유소,대전 서구 대덕대로 384 (만년동),S-OIL,Y,1497
44,대전광역시,백산주유소,대전광역시 서구  동서대로 1068 (변동),SK에너지,N,1699
